"mpg","hp","wt","cyl","gear","am","vs","hp_per_wt","transmission.automatic","transmission.manual","hp_per_cyl","log_wt","mpg_class"
21,110,2.62,6,4,"Manual",0,41.9847328244275,FALSE,TRUE,18.3333333333333,0.963174317773006,"Medium"
21,110,2.875,6,4,"Manual",0,38.2608695652174,FALSE,TRUE,18.3333333333333,1.05605267424931,"Medium"
22.8,93,2.32,4,4,"Manual",1,40.0862068965517,FALSE,TRUE,23.25,0.841567185678219,"Medium"
21.4,110,3.215,6,3,"Automatic",1,34.2146189735614,TRUE,FALSE,18.3333333333333,1.16782735768958,"Medium"
18.7,175,3.44,8,3,"Automatic",0,50.8720930232558,TRUE,FALSE,21.875,1.23547147138531,"Medium"
18.1,105,3.46,6,3,"Automatic",1,30.3468208092486,TRUE,FALSE,17.5,1.24126858906963,"Medium"
14.3,245,3.57,8,3,"Automatic",0,68.6274509803922,TRUE,FALSE,30.625,1.27256559579155,"Low"
24.4,62,3.19,4,4,"Automatic",1,19.435736677116,TRUE,FALSE,15.5,1.16002091679675,"Medium"
22.8,95,3.15,4,4,"Automatic",1,30.1587301587302,TRUE,FALSE,23.75,1.14740245283754,"Medium"
19.2,123,3.44,6,4,"Automatic",1,35.7558139534884,TRUE,FALSE,20.5,1.23547147138531,"Medium"
17.8,123,3.44,6,4,"Automatic",1,35.7558139534884,TRUE,FALSE,20.5,1.23547147138531,"Medium"
16.4,180,4.07,8,3,"Automatic",0,44.2260442260442,TRUE,FALSE,22.5,1.4036429994545,"Medium"
17.3,180,3.73,8,3,"Automatic",0,48.2573726541555,TRUE,FALSE,22.5,1.31640823365572,"Medium"
15.2,180,3.78,8,3,"Automatic",0,47.6190476190476,TRUE,FALSE,22.5,1.3297240096315,"Medium"
10.4,205,5.25,8,3,"Automatic",0,39.047619047619,TRUE,FALSE,25.625,1.65822807660353,"Low"
10.4,215,5.424,8,3,"Automatic",0,39.6386430678466,TRUE,FALSE,26.875,1.69083355063809,"Low"
14.7,230,5.345,8,3,"Automatic",0,43.0308699719364,TRUE,FALSE,28.75,1.67616154447701,"Low"
32.4,66,2.2,4,4,"Manual",1,30,FALSE,TRUE,16.5,0.78845736036427,"High"
30.4,52,1.615,4,4,"Manual",1,32.1981424148607,FALSE,TRUE,13,0.47933495667462,"High"
33.9,65,1.835,4,4,"Manual",1,35.4223433242507,FALSE,TRUE,16.25,0.607044481506534,"High"
21.5,97,2.465,4,3,"Automatic",1,39.3509127789047,TRUE,FALSE,24.25,0.902191807494653,"Medium"
15.5,150,3.52,8,3,"Automatic",0,42.6136363636364,TRUE,FALSE,18.75,1.25846098961001,"Medium"
15.2,150,3.435,8,3,"Automatic",0,43.6681222707424,TRUE,FALSE,18.75,1.23401692567431,"Medium"
13.3,245,3.84,8,3,"Automatic",0,63.8020833333333,TRUE,FALSE,30.625,1.34547236659964,"Low"
19.2,175,3.845,8,3,"Automatic",0,45.5136540962289,TRUE,FALSE,21.875,1.34677360295761,"Medium"
27.3,66,1.935,4,4,"Manual",1,34.1085271317829,FALSE,TRUE,16.5,0.660107326481745,"High"
26,91,2.14,4,5,"Manual",0,42.5233644859813,FALSE,TRUE,22.75,0.76080582903376,"High"
30.4,113,1.513,4,5,"Manual",1,74.6860541969597,FALSE,TRUE,28.25,0.414094434806219,"High"
15.8,264,3.17,8,5,"Manual",0,83.2807570977918,FALSE,TRUE,33,1.15373158788919,"Medium"
19.7,175,2.77,6,5,"Manual",0,63.1768953068592,FALSE,TRUE,29.1666666666667,1.01884732019925,"Medium"
15,335,3.57,8,5,"Manual",0,93.8375350140056,FALSE,TRUE,41.875,1.27256559579155,"Low"
21.4,109,2.78,4,4,"Manual",1,39.2086330935252,FALSE,TRUE,27.25,1.02245092770255,"Medium"
